portuguese,english
tom is one of the most talkative people i know,tom e uma das pessoas mais faladeiras que conheco
tom is allergic to dust,tom e alergico a poeira
it seems classes began yesterday,parece que as aulas comecaram ontem
its written here,esta escrito aqui
tom asked me to talk to mary,tom me pediu para proteger a mary
i think ive seen enough,acho que ja vi o bastante
ive been wanting to meet you for years,eu venho esperando te conhecer por anos
im sure tom will tell us the truth,tenho certeza de que o tom nos contara a verdade
that didnt sit well with tom,isso nao ficou bem com o tom
if youre leaving please close the door,se voce esta saindo feche a porta por favor
tom was in boston in 2003,tom esteve em boston em 2003
dont you want to know what it is,voces nao querem saber o que e
i like the way you talk,eu gosto do seu jeito de falar
i hope your car doesnt get stolen,espero que nao roubem o seu carro
im sure that tom is right,tenho certeza de que o tom esta certo
it was not until recently that she changed her mind,foi so recentemente que ela mudou de ideia
tom hasnt changed at all,tom nao mudou nada
tom is happy to have had help doing that,tom e feliz de ter conseguido ajuda para fazer isso
tom doesnt know a lot about animals,tom nao sabe muito sobre animais
someone screamed,alguem gritou
does tom still think he doesnt have to do that,tom ainda acha que ele nao precisa fazer isso
i know where you are,eu sei onde voces estao
i need your car,eu preciso do teu carro
i didnt know how to do this until tom showed me,eu nao sabia fazer isso ate que tom me mostrou
i never wanted to hurt tom,eu nunca quis machucar o tom
i dont think it means anything,eu acho que nao significa nada
you dont care do you,voces nao se importam nao e
my sisterinlaw had four children in five years,minha cunhada teve quatro criancas em cinco anos
how did you learn to speak french so well,como foram que voces aprenderam a falar frances tao bem
what is your greatest strength,qual e a tua maior forca
he placed the book on the shelf,ele colocou o livro na prateleira
well call you,nos vamos te ligar
far from getting better he gets worse every day,longe de melhorar ele piora a cada dia
she has no children does she,ela nao tem filhos tem
tom likes basketball a lot,tom gosta muito de basquete
i couldnt help yawning,nao pude deixar de bocejar
it feels strange,parece estranho
do you want to kill me,voce quer me matar
tom will have to go there by himself,tom tera de ir la sozinho
when did you go to sleep,quando voce foi dormir
what a jerk,que idiota
bell invented the telephone,bell inventou o telefone
how many hot dogs did you eat last weekend,quantos cachorrosquentes voce comeu no fim de semana passado
how many letters are there in the alphabet,quantas letras tem no alfabeto
tom told me he wanted to go,tom me disse que queria ir
were eating popcorn,nos estamos comendo pipoca
i have them all,eu tenho todas elas
i dont want to quit this job,nao quero sair deste emprego
im a member of alcoholics anonymous,eu sou membro dos alcoolicos anonimos
you cant stop progress,nao se pode parar o progresso
i didnt eat it because i didnt see it,nao comi porque nao vi
he repeated his question,ele repetiu sua pergunta
tom is visiting boston,tom esta visitando boston
tom can speak french as well,o tom pode falar frances tambem
i had never received such an abusive letter before,nunca recebi uma carta tao absurda antes
toms parents vetoed his summer plans,os pais de tom vetaram os seus planos de verao
i thought you said you wanted to do that by yourself,eu pensei que voce disse que queria fazer isso sozinho
i have to study now,agora preciso estudar
you dont need to study today,voce nao tem que estudar hoje
i wish i had gone to the theater last night,queria ter ido ao teatro ontem a noite
i took a picture of her,eu fiz uma foto dela
i wonder if tom is artistic,eu me pergunto se o tom e artistico
what a pity,que lastima
i always wanted to say that,eu sempre quis dizer isso
i helped tom deal with the problem,ajudei o tom a lidar com o problema
finding an optimal solution will take some time,encontrar uma solucao ideal levara algum tempo
you two have a lot in common,voces dois tem muito em comum
tom doesnt know whos who,tom nao sabe quem e quem
we can do it,podemos fazer isso
tom and mary arent swimming now,o tom e a mary nao estao nadando agora
youre a bright boy,voce e um garoto brilhante
violas are string instruments,a viola e um instrumento de cordas
the telephone was invented by bell in 1876,o telefone foi inventado por bell em 1876
wait until i get back,espere ate que eu retorne
please send me a picture of yourself,me manda uma foto sua por favor
tom is coming to boston tomorrow,tom vira a boston amanha
i didnt sing,eu nao cantei
i can try calling again tomorrow morning,posso tentar ligar amanha de manha de novo
did you want to talk to me,voce queria falar comigo
as far as i know hes a diligent student,pelo que eu sei ele e um aluno aplicado
im dehydrated,estou desidratado
i want to wash my hands,quero lavar minhas maos
maybe ill see you there,talvez eu te veja la
why do i have to do that,por que e que eu tenho que fazer isso
i dont want to go back to boston,eu nao quero voltar a boston
i dont want to try doing that,nao quero tentar fazer isso
toms mothers name is mary,o nome da mae de tom e mary
are you a buddhist,voce e budista
youre more polite than tom,voce e mais educado do que tom
i knew tom was dead,eu sabia que o tom tinha morrido
tom wanted to stay in boston,tom queria ficar em boston
we must work hard,precisamos trabalhar duro
its so big,e tao grande
tom didnt last long,tom nao durou muito
tom slept a lot longer than i did,tom dormiu muito mais que eu
dont refer to this matter again please,por favor nao toque neste assunto novamente
i didnt know tom liked jazz,nao sabia que o tom gostava de jazz
we thought you could help,achavamos que voce poderia ajudar
the band played the national anthem,a banda tocou o hino nacional
she went to the museum by cab,ela foi ao museu de taxi
im horrible at math,sou horrivel em matematica
you may stay,voces podem ficar
tom promised me he would come to the party,tom me prometeu que viria a festa
his book is very interesting,o livro dele e muito interessante
these jewels are expensive,estas joias sao caras
she is very angry with me,ela esta muito brava comigo
did you do anything last night,fizeste alguma coisa na noite passada
i dont really want to talk about this now,eu realmente nao quero falar sobre isso agora
what a fool i was,que tola eu fui
she is eager to go to france,ela deseja muito ir a franca
its a quarter past nine,sao nove horas e quinze minutos
tom wasnt on the flight,o tom nao esta no voo
everyone thinks so,todo mundo acha que sim
freeze,parado
toms father never came back home before nine or ten,o pai do tom nunca voltava para casa antes das nove ou dez
it will stop raining soon,vai parar de chover logo
we need only a few more minutes,precisamos de apenas mais alguns minutos
tom knows that mary is hungry,tom sabe que maria esta com fome
i cant do it alone,nao posso fazer isso sozinho
tom just walked through the wrong door,o tom acabou de entrar pela porta errada
ive always wanted to go to australia with my family,eu sempre quis ir para a australia com minha familia
i found your diary,eu encontrei seu diario
weve had some tough times,nos passamos por uns tempos dificeis
why do you want to know what im thinking,por que voce quer saber o que eu estou pensando
tom seems to be aware that mary didnt do that,o tom parece estar ciente de que a mary nao fez isso
tom will get married in october,tom se casara em outubro
were scared because weve heard two people are going to be fired,estamos assustados porque ouvimos que duas pessoas serao mandadas embora
they are in trouble can you help them,eles estao em apuros voce pode ajudalos
tom is going bald,tom esta ficando careca
i hardly ever swim,eu quase nunca nado
dont try me,nao me tente
germany is in the middle of europe,a alemanha fica no meio da europa
i wish we didnt have so many problems,queria que nao tivessemos muitos problemas
do you remember where we did that,voce se lembra onde foi que nos fizemos isso
do you prefer white rice or brown rice,voce prefere o arroz preto ou o branco
are you kids hungry,estao com fome criancas
my problems are very similar to yours,meus problemas sao muito parecidos aos seus
may i turn down the tv,posso baixar o volume da tv
tom asked mary what she wanted,o tom perguntou a mary o que ela queria
he works in a bank,ele trabalha num banco
bird watching is a nice hobby,olhar os passaros e um hobby bacana
tom said he needed a dozen eggs,tom disse que precisava de uma duzia de ovos
how did you get back so soon,como foi que voce voltou tao rapido
i think were getting better,eu acho que nos estamos melhorando
you are crazy,voce e doido
you look like a cop,voce parece um policial
the girl was kind enough to show me the way to the museum,a rapariga teve a gentileza de me mostrar o caminho para o museu
your plan sounds great,o teu plano parece otimo
look into my eyes,olhame nos olhos
where did you learn to shoot,onde voces aprenderam a atirar
does anybody want to take a walk to the beach,alguem quer caminhar na praia
why didnt you stop me,por que voce me parou
how do you plan to spend your weekend,como voce planeja passar o final de semana
they dont trust me,eles nao confiam em mim
i decided to buy a new umbrella,decidi comprar um guardachuva novo
i play piano,eu toco piano
he got fired for slacking off at work,ele foi demitido por faltar no trabalho
i get nauseous whenever i fly,sinto enjoo quando voo
i think theyre honest people,acho que eles sao pessoas honestas
im sure tom meant to do that,eu tenho certeza de que o tom teve a intencao de fazer isso
i hope that it is fine tomorrow,espero que o tempo esteja bom amanha
ill treat you,voce e meu convidado
i study english on monday and friday,eu estudo ingles segundas e sextas
you are beautiful,voce e bonito
i hate this carpet,eu detesto este tapete
tom has a ford,o tom tem um ford
i thought about doing that but i didnt have the time,eu pensei em fazer aquilo mas nao tive tempo
im still not ready yet,eu ainda nao estou pronto
if your father asks your mother a question in french does she answer in french or in english,se o seu pai pergunta para a sua mae algo em frances ela o responde em frances ou em ingles
everything she says is untrue,tudo o que ela diz e falso
read it once more please,leia mais uma vez por favor
i grabbed the cat by its neck,eu peguei o gato pelo pescoco
i hope tom isnt grumpy,eu espero que tom nao esteja malhumorado
keep talking,continue falando
the address i have for tom is wrong,o endereco que eu tenho de tom esta errado
tom has some emotional problems,tom tem alguns problemas emocionais
what caused this to happen,o que fez que isto acontecesse
tell tom what he should do first,diga ao tom o que ele deve fazer primeiro
we laughed,nos rimos
im not blaming you tom,eu nao estou lhe culpando tom
tom just wants to be left alone,tom so quer ser deixado em paz
i dont want to hurt toms feelings,nao quero ferir os sentimentos do tom
did you get wet,voce se molhou
i really like this restaurant,eu realmente gosto deste restaurante
ive known tom since i was little,eu conheci tom desde que eu era pequeno
tom isnt doing his best,o tom nao esta fazendo o seu melhor
this movie is very interesting to me,esse filme e muito interessante para mim
i cant eat chocolate,eu nao posso comer chocolate
somebody knows that,alguem o sabe
tom unfolded his napkin,tom desdobrou o guardanapo
tom wanted to change,tom queria mudar
im the owner of this restaurant,eu sou o dono deste restaurante
im not telling you his name,nao vou dizer a voce o nome dele
tom laughed at my jokes,tom riu das minhas piadas
i want to practice my french,quero praticar o meu frances
would you like a banana,quer uma banana
we value punctuality,valorizamos a pontualidade
open the door and let in the dog,abra a porta e deixe o cachorro entrar
i have proof,eu tenho prova
i feel like you dont really care about me,tu me das a impressao de nao te importares nem um pouco comigo
im not special,eu nao sou especial
ive been thinking about our situation,venho pensando sobre a nossa situacao
the ice cream is melting,o sorvete esta derretendo
have you ever eaten a banana pie,voce ja comeu torta de banana
a green color is a characteristic of that type of apple,uma coloracao verde e uma caracteristica dessa qualidade de maca
my dog follows me wherever i go,meu cachorro me acompanha para onde quer que eu va
dont let anyone leave this building,nao deixe ninguem sair deste edificio
are you already drunk,ja estas bebada
tom is adopted,tom e adotado
tom has a sister who is a lawyer,tom tem uma irma que e advogada
tom always lies to me,tom sempre mente para mim
i have a message for you,eu tenho uma mensagem para voce
can i ask you a favor,posso pedirte um favor
how long have you been a widow,voce e viuva ha quanto tempo
i dont really care where tom has been,eu realmente nao me importo onde o tom esteve
we had no unexpected incidents during our trip,nos nao tivemos incidentes inesperados durante a nossa viagem
tom wanted a million dollars,tom queria um milhao de dolares
tom loves books,tom ama livros
i cant hear it,eu nao consigo ouvir
i bought tom a gift,eu comprei um presente para o tom
last summer i traveled to italy,no verao passado eu viajei para a italia
when was that,quando foi aquilo
my sister and i go to the movies from time to time,minha irma e eu vamos ao cinema de vez em quando
in comparison with tokyo london is small,em comparacao a toquio londres e pequena
i play baseball,jogo beisebol
i didnt have much choice,eu nao tive muita escolha
i like to listen to classical music,gosto de ouvir musica classica
do you really care what i think,voce liga mesmo para o que eu penso
youre not a student are you,voce nao e estudante e
its a big hospital,e um hospital grande
i was the one who said we should wait,fui eu quem disse que deveriamos esperar
a considerable number of students want to go to college,um numero significativo de alunos quer ir para a faculdade
i was eating a sandwich,eu estava comendo um sanduiche
itll be easy,sera facil
death before dishonor,antes a morte a desonra
im eating here,estou comendo aqui
youre tactful,voce tem tato
i swore id never be like tom,eu jurei que eu nunca seria igual ao tom
tom likes it here,o tom gosta daqui
is it going to happen again,vai acontecer de novo
im in love with you,estou apaixonado por ti
i hate football,odeio o futebol
he apologized to the employee,ele pediu desculpas ao funcionario
she can leave tomorrow,ela pode partir amanha
i havent seen any of my old classmates since i graduated 15 years ago,nao vi meus antigos colegas de aula desde que me formei 15 anos atras
im not proud of my behavior,eu nao estava orgulhoso de meu computador
i dont know where you have to go,nao sei aonde voce deve ir
its divided into three parts,e dividido em tres partes
i wanted to scream,eu queria gritar
i understood very well,eu entendi muito bem
i think you should wear a tie,eu acho que voce deveria vestir uma gravata
didnt you read the book,voce nao leu o livro
i need your approval before i leave work early,preciso de sua autorizacao antes de sair do trabalho cedo
tom died three days later,tom morreu tres dias depois
i still have the key to toms house,ainda estou com a chave da casa do tom
i know its impossible,sei que e impossivel
i was surprised when tom told me why he did that,eu fiquei surpreso quando o tom me contou por que ele fez aquilo
he cannot stop us,ele nao pode nos deter
she lost her father at the age of 3,aos tres anos de idade ela perdeu o pai
lets go straight to the beach,vamos direto a praia
i wont deny it was difficult,nao vou negar que foi dificil
when can you come to my house,quando os senhores podem vir a minha casa
is this what you wanted,e isso o que voce queria
tom disappeared on october 20th,tom desapareceu no dia 20 de outubro
i have just finished eating,acabei de comer exatamente agora
i want to know what time you plan to arrive,quero saber a que horas voce planeja chegar
ive been told this is a quiet town,disseramme que esta e uma cidade tranquila
ill make a note of that,vou tomar nota disso
were competitors not partners,somos competidores e nao parceiros
tom lived with us,tom morou com a gente
as far as i know he used to be a good student,ate onde eu sei ele era um bom aluno
tom is shallow isnt he,tom e superficial nao e
when you buy a house read the documents carefully,quando voce comprar uma casa leia os documentos com atencao
my uncle gave me a gift,o meu tio me deu um presente
why dont you see if you can help tom,por que voce nao ve se pode ajudar tom
thats exactly what the problem is,isso e exatamente o que e o problema
one way to learn a foreign language is to interact with native speakers of that language,uma das maneiras de aprender uma lingua estrangeira e interagir com falantes nativos desse idioma
there is no need for a comma in this sentence,esta frase nao precisa de nenhuma virgula
dont ask questions just come with me,nao faca perguntas apenas venha comigo
i dont want any bananas at all,eu nao quero nenhuma banana
you dont even know tom,voce nem sequer conhece tom
tom have you eaten yet,tom voce ja comeu
tom has some very good ideas,tom tem umas ideias muito boas
ive seen you somewhere before,eu te vi em algum lugar antes
are you going to the movies tonight,voce vai ao cinema de noite
he was ill but today hes all right,ele esteve doente mas hoje esta bem
recently ive been thinking about what i want to do with my life,recentemente estive pensando no que quero fazer da minha vida
i didnt get anything for you,nao consegui nada para voce
tom said that he loved mary,tom disse que amava mary
did you see that,voces viram isso
he painted his bicycle red,ele pintou a bicicleta dele de vermelho
tom usually wears blue slippers around the house,tom costuma andar de sandalias azuis pela casa
tom has been kidnapped,tom foi sequestrado
tom didnt get caught,tom nao foi pego
do you remember your first teachers name,voce se lembra do nome do seu primeiro professor
i would really like to explore this cave,eu realmente gostaria de explorar esta caverna
what color is your dog,que cor e seu cachorro
would you like me to tell the truth,voce quer que eu lhe diga a verdade
i cant stop laughing,eu nao consigo parar de rir
water consists of hydrogen and oxygen,oxigenio e hidrogenio formam agua
ill go by myself,irei sozinho
ive decided not to go to australia with you,decidi nao ir para a australia com as senhoras
she was wearing a red skirt,ela estava vestindo uma saia vermelha
i looked for tom and mary for over an hour,eu procurei pelo tom e pela maria por mais de uma hora
tom doesnt have a credit card,o tom nao tem um cartao de credito
i put it in your room,eu o pus no seu quarto
smoking does damage your lungs,fumar prejudica seus pulmoes
where does tom usually go swimming,onde o tom costuma nadar
tom leaned over and whispered something in marys ear,tom se inclinou e sussurrou algo no ouvido de mary
i think tom is obstinate,acho que o tom e obstinado
i dont like the idea of leaving tom alone,eu nao gosto da ideia de deixar o tom sozinho
hes writing a long letter,ele esta escrevendo uma longa carta
tom thought you were in boston,tom pensou que voce estava em boston
have you forgotten,voce esqueceu
tom is very possessive isnt he,tom e muito possessivo nao e
tom translated the document from french into english,tom traduzia o documento do frances para o ingles
this is my first time so im a little nervous,esta e a minha primeira vez entao estou um pouco nervosa
this looks like it might be the weapon that was used to kill tom,parece que esta pode ser a arma que foi usada para matar tom
tom needs to shut up,tom tem de calar a boca
when should i come again,quando devo voltar
tom seems to be fond of doing that,tom parece gostar de fazer isso
whys tom looking at me,por que tom esta olhando para mim
its wonderful to be here,e maravilhoso estar aqui
she always smiles,ela sempre sorri
i cant stand this heat,eu nao suporto este calor
he died five years ago,ele morreu cinco anos atras
you are so childish sometimes,voce e tao infantil as vezes
i have three children,tenho tres filhos
this collars too tight,esta gola esta muito apertada
i cant do it without you,nao posso fazer isso sem voce
the girl said nothing,a menina nao disse nada
lets take a 10minute break,vamos dar uma pausa de dez minutos
please be honest with yourselves,por favor sejam honestos consigo mesmos
tom will thank me,o tom vai me agradecer
someone cleaned my room while i was gone,alguem limpou o meu quarto enquanto eu estava fora
i squeezed the lemon,eu espremi o limao
i think tom might be mad at me,acho que o tom pode estar com raiva de mim
i dont blame you for what happened,nao te culpo pelo que aconteceu
what fools they are,como eles sao burros
i am married and have two children,sou casado e tenho dois filhos
the skin is the largest organ of the body,a pele e o maior orgao do corpo
tom can help us im sure,tom pode nos ajudar tenho certeza
i cannot come next week,nao posso ir na semana que vem
i cant be without you,nao posso ficar sem voce
here is a letter for you,aqui esta uma carta para voce
tom looked at me and smiled,tom olhou para mim e sorriu
i need to speak to you,eu preciso falar com voce
i had my birthday party at a restaurant,comemorei o meu aniversario num restaurante
its not going to snow,nao vai nevar
tom says hell do his best to finish the job before next monday,tom disse que vai fazer o seu melhor para acabar o trabalho ate a proxima segunda
be careful not to tear your clothes on that nail,tenha cuidado para nao rasgar sua roupa nesse prego
youre a good friend,voce e um bom amigo
do you understand what i mean,voce entende o que eu quero dizer
were you thinking about me,pensaveis em mim
i know where tom is hiding,sei aonde o tom esta se escondendo
these personal organizers are different thicknesses,estas agendas sao de grossuras diferentes
her dream is to visit paris,o seu sonho e visitar paris
turn to the left,vira a esquerda
we were a perfect couple,eramos um casal perfeito
your efforts are futile,seus esforcos sao futeis
tom was sleepy,tom estava com sono
i want you to like tom,eu quero que voce goste do tom
tom is afraid of spiders,tom tem medo de aranhas
i will leave as soon as the bell rings,eu partirei assim que o sino tocar
i helped tom up the stairs,ajudei tom a subir as escadas
im not racist,eu nao sou racista
i was looking for something but couldnt find it,estava procurando algo mas nao o encontrei
im smarter than you,sou mais inteligente do que voces
mix three eggs and a cup of sugar,misture dois ovos e uma xicara de acucar
they did nothing,eles nao fizeram nada
tom may want to do that,tom talvez queira fazer isso
are these dogs yours,esses cachorros sao seus
nobody likes tom,ninguem gosta de tom
at first they were all convinced he was innocent,no comeco todos estavam convencidos de que ele era inocente
do you really have to do it now,voce precisa mesmo fazer isso agora
i live in this house by myself,eu moro nesta casa sozinho
toms studying,tom esta estudando
you must give up smoking,vos tendes de parar de fumar
youre fired,voces estao despedidos
how many fish can you keep in your tank,quantos peixes voce pode ter no seu aquario
i cant hide you forever,eu nao posso escondelo para sempre
it seems like yesterday,parece que aconteceu ontem
i began to speak,comecei a falar
this movie is for adults not for children,este filme e para adultos nao para criancas
ive been cooperative,eu tenho cooperado
i wanted to go there,queria ir la
tom doesnt need to help me anymore,tom nao precisa mais me ajudar
wheres the funding coming from,de onde esta vindo o financiamento
you work harder than anyone here,voce trabalha mais que qualquer um aqui
tell tom this is hopeless,diga ao tom que isso e inutil
tom didnt let me in his room,o tom nao me deixou entrar no quarto
tom didnt know where his umbrella was,tom nao sabia onde estava seu guardachuva
that wont ever happen,isso nunca vai acontecer
we clicked very quickly,clicamos muito rapidamente
do you doubt me,voce duvida de mim
tom was able to help mary,tom pode ajudar a mary
you dont know where it is do you,voce nao sabem onde esta sabem
he is still too young for the job,ele ainda e jovem demais para este trabalho
there are a lot of books in the library,ha muitos livros na biblioteca
we dont have a vacancy at the moment,nao temos nenhuma vaga no momento
thirteen is a lucky number in the brazilian federal lottery,o treze e um numero de sorte na loteria federal brasileira
you should get that checked,voce deveria conferir aquilo
tom was disappointed with the result,tom estava desapontado com o resultado
how can i see you,como posso velas
how deep is the hole,qual e a profundidade do buraco
he lied readily,ele mentia com facilidade
are you mad,voce esta com raiva
your question is hard to answer,sua pergunta e dificil de responder
its not important,nao e importante
the baby stopped crying,o bebe parou de chorar
could this really happen,isto realmente poderia acontecer
it all went wrong,deu tudo errado
are you okay,tudo bem contigo
ive already told you more than i shouldve,eu ja lhe disse mais do que deveria ter dito
i was born on february 14 1960,nasci no dia 14 de fevereiro de 1960
i dont want to know where you were,nao quero saber onde voce estava
the death of her husband changed her life completely,a morte do esposo alteroulhe completamente a vida
can i pick the next song,eu posso escolher a proxima musica
this is one of the best restaurants in boston,este e um dos melhores restaurantes de boston
my brother can drive a car,meu irmao sabe dirigir um carro
were not a couple,nos nao somos um casal
are you making fun of me,voce esta me gozando
tom was found dead in his bed,tom foi encontrado morto em sua cama
tom consumes a lot of wine,tom consome muito vinho
he often quotes milton,ele frequentemente cita milton
what time do we leave tomorrow,a que horas vamos partir amanha
i am not afraid,nao estou com medo
tom lived in an interesting part of boston,o tom viveu numa zona rica de boston
tom doesnt appear to be too happy,o tom nao parece estar muito feliz
i get along with my younger brother,eu me dou bem com o meu irmao cacula
im supposed to go,e provavel que eu va
tom laughed at my joke,tom riu da minha piada
i dont think tom knows that i think hes stupid,nao acho que o tom saiba que acho que ele e burro
the door of the meeting room is open,a porta da sala de reunioes esta aberta
we want peace,queremos paz
im still upset,eu ainda estou chateado
today is a hot day,hoje esta quente
my grandfather was an archaeologist,o meu avo era arqueologo
toms canadian,o tom e canadense
however cold it may be he still jogs 20 kilometers every day,por mais frio que possa estar ele ainda corre vinte quilometros todos os dias
i had to protect tom,eu tive de proteger tom
thank you in advance,agradeco desde ja
tom didnt expect to get a raise,tom nao esperava receber um aumento
he was the man of her dreams,ele era o homem dos seus sonhos
ive already talked to tom about that matter,ja falei com tom sobre aquele assunto
help us,ajudemnos
i want to be there with tom,eu quero estar la com o tom
how about getting together on monday night,que tal ficarmos juntos na segunda a noite
were from boston,nos somos de boston
the doctor took my pulse,o medico me tomou o pulso
i really like this car,eu realmente gosto deste carro
tom was beaten and strangled to death,tom foi espancado e estrangulado ate a morte
its not worth it,nao vale a pena
tom is honest so i like him,tom e honesto entao eu gosto dele
tom runs 10 kilometers a day,tom corre 10 quilometros por dia
the french revolution began in 1789,a revolucao francesa comecou em 1789
this is a small book,isto e um livrinho
they didnt touch anything,elas nao tocaram em nada
tom is better at french than english,tom e melhor em frances do que em ingles
i think something is wrong,eu acho que alguma coisa esta errada
i wasnt the one who told tom to sing,nao fui eu que disse a tom que cantasse
some things are better left unsaid,algumas coisas e melhor que nao sejam ditas
the book is on the table,o livro esta sobre a mesa
that kind of story appeals to me,esse tipo de estoria me atrai
tom put some clothes on,tom se vestiu
tom comes from australia,o tom veio da australia
shes still a minor,ela ainda e menor de idade
tom has a family,tom tem uma familia
im not the only survivor,eu nao sou a unica sobrevivente
whos there,quem esta ai
i dont want to spoil everything,nao quero arruinar tudo
why were they chosen,por que eles foram escolhidos
dont be so picky,nao seja tao exigente
ill see you soon tom,vejo voce em breve tom
i am getting a cold,eu estou ficando resfriado
im just trying to understand you,estou somente tentando compreenderte
tom isnt the kind of guy whod do that,tom nao e o tipo de cara que faria isso
tom set the table,tom pos a mesa
he likes soccer,ele gosta de futebol
is tom at home now,o tom esta em casa agora
ill close the door,fecharei a porta
from now on i promise to be punctual,de agora em diante prometo ser pontual
tom is nearly three hours late,tom esta quase tres horas atrasado
tom shouldnt tell mary about what happened,tom nao deveria contar para mary o que aconteceu
the house where my father was born is just around the corner,a casa onde meu pai nasceu esta ao virar da esquina
i wonder what he will say,eu me pergunto o que ele vai dizer
im going to prove it to you,eu vou provar para voce
wait outside,espera la fora
we have no more information,nos nao temos mais informacoes
no problem,problema nenhum
i was born and raised in boston,eu nasci e cresci em boston
it was very difficult,era muito dificil
were you thinking about me,estaveis vos pensando em mim
his aunt has three cats,sua tia tem tres gatos
enjoy the show,aproveite o show
keep moving,continue andando
why were you late,por que voce chegou atrasado
i want to be a hero,eu quero ser um heroi
my sister is so annoying,a minha irma e tao chata
unfortunately i dont have any money with me now,infelizmente estou sem nenhum dinheiro
i havent broken a christmas ornament in years,ha anos nao quebro um enfeite de natal
dinner is on me,o jantar e por minha conta
tom promised not to tell anyone about it,tom prometeu nao contar a ninguem sobre isso
im considering studying in america next year,eu estou pensando em ir estudar nos estados unidos no ano que vem
he can speak thai as well as english,ele sabe falar tailandes tao bem quanto ingles
are you that stupid,voce e tao estupida assim
i dont like this,nao gosto disso
tom will sing for mary,o tom vai cantar para a mary
im afraid youve misunderstood me,parece que o senhor me entendeu mal
whats the dogs name,qual o nome do cachorro
i have no neighbors,eu nao tenho vizinhos
preparing a room for painting is the most important step in the process,preparar um quarto para ser pintado e o passo mais importante do processo
toms packing,tom esta fazendo as malas
tom is looking for a job,tom esta procurando um emprego
im sure tom will agree to do that,eu tenho certeza de que o tom vai concordar em fazer isso
i really enjoyed it,eu adorei
i couldnt tell tom everything,eu nao podia contar tudo para o tom
how old do you think she is,que idade acha que ela tem
where did you buy your car,onde voce comprou o seu carro
i couldnt speak french when i first got there,eu nao podia falar frances quando cheguei la
someone has to pay the bill,alguem tem de pagar a conta
tom used to play the guitar,tom tocava violao
im getting angry,estou ficando irritado
i have a bad headache today,hoje estou com uma forte dor de cabeca
did you understand more or less,entendeu quase
is that your book,e o seu livro
theyre our friends,eles sao nossos amigos
tom looked after my dog while i was away,tom cuidou do meu cachorro enquanto eu estava fora
tom was the only one who wasnt snoring,tom era o unico que nao estava roncando
tom is still at the library,tom ainda esta na biblioteca
we were told to stay on the ship,mandaramnos ficar no navio
tom and mary used to work together,o tom e a mary costumavam trabalhar juntos
i bought some bread,eu comprei pao
i too am an actor,eu tambem sou ator
i dont want my parents to find out what we did yesterday,nao quero que os meus pais descubram o que nos fizemos ontem
we used to live here,nos moravamos aqui
he agreed to what they said,ele concordou com o que lhe disseram
even if you fail this time youll have another chance,mesmo se voce falhar desta vez voce tera outra chance
is there anything else i can help you with,ha algo mais em que eu possa te ajudar
tom is too shy to sing in public,tom e timido demais para cantar em publico
it couldve been a lot worse,poderia ter sido muito pior
tom and mary are from the same city,tom e mary sao da mesma cidade
to lose weight you must cut back on sweets,para emagrecer voce precisa diminuir nos doces
why are we wasting time here,por que estamos perdendo tempo aqui
it doesnt matter anymore,nao importa mais
i want to be safe,eu quero ficar em seguranca
did you go to see tom,fostes ver o tom
i could have helped,eu poderia ter ajudado
im glad to hear that youre getting better,estou feliz em saber que voce esta melhorando
tom is serious,tom esta serio
i havent done it yet,eu nao fiz isso ainda
im going to boston with you,eu vou para boston com voces
it is already dark,ja esta escuro
several gardeners look after the azaleas in the park,alguns jardineiros cuidam das azaleas no parque
tom eventually told the truth,tom acabou dizendo a verdade
theyre my classmates,elas sao minhas colegas de classe
why did i trust you,por que eu confiei em voce
what size is that dress,qual e o tamanho deste vestido
she knows the truth,ela sabe a verdade
tom loved apples when he was a child,tom adorava macas quando era crianca
its good to be home,e bom estar em casa
please dont be late,por favor nao se atrase
you dont even know what you mean do you,voce nem sequer sabe o que quer dizer nao e
they are alone,eles estao sozinhos
there were only six people in the meeting,na reuniao havia somente seis pessoas
everybody paid,todos pagaram
i dont know those women,eu nao conheco essas mulheres
tom doesnt get up early,tom nao levanta cedo
youre the doctor,voce e a medica
tom got stranded on an island,o tom ficou preso em uma ilha
you need to leave immediately,e preciso que tu saias neste instante
what do you have planned for tonight,o que voce planejou para esta noite
hello is this the gotos residence,alo e da casa dos goto
im glad we were there,eu estou feliz por termos estado la
i doubt that tom is still married,eu duvido que o tom ainda esteja casado
hes wearing sunglasses,ele esta usando oculos escuros
we have a lot of things that need to be done,nos temos muitas coisas que precisam ser feitas
what are the rules,quais sao as regras
we played poker the entire day,nos passamos o dia todo jogando poquer
i like that university but its too near my home,eu gosto desta universidade mas e perto demais de casa
my suitcase is broken,a minha mala esta quebrada
ive got to stop you,tenho que te deter
i fixed the car yesterday,eu consertei o carro ontem
do we have a choice,nos temos escolha
i hope your efforts will bear fruit,espero que seus esforcos deem frutos
he used to walk to his office,ele ia a pe para o escritorio
you want another one dont you,voce quer outro nao quer
they have no choice,elas nao tem escolha
why arent you with your parents,por que voce nao esta com os seus pais
you dont know how worried i am,voce nao sabe como estou preocupado
do you really have a boyfriend,voce tem mesmo namorado
tom let the dog out,tom deixou o cachorro sair
african elephants have less hair than asian elephants,os elefantes africanos tem menos pelo que os elefantes asiaticos
she told him not to worry,ela lhe disse para nao se preocupar
